#{"t_start": 1648298239.7514663, "env_id": null}
r,l,t
-66.048973,12,4.748878
-68.020414,12,5.83998
-66.212884,12,6.941004
-71.606891,12,8.076966
-70.664924,12,9.202954
-68.844667,12,10.37585
-70.268148,12,11.470922
-71.600067,12,12.581916
-68.142635,12,13.686965
-69.580807,12,14.879808
-63.609631,12,15.97984
-68.67542,12,17.064938
-68.586454,12,18.158014
-65.060427,12,19.247101
-67.648786,12,20.368104
-69.169049,12,21.507057
-63.34307,12,22.614103
-65.540797,12,23.754046
-73.850618,12,24.919928
-66.241847,12,26.013004
-64.455834,12,27.203079
-61.973916,12,28.315029
-68.290845,12,29.44002
-66.761501,12,30.589911
-63.911547,12,31.743371
-66.740735,12,32.897287
-68.231716,12,34.055247
-66.380153,12,35.294932
-66.897205,12,36.52564
-67.33743,12,37.661601
-68.771309,12,38.808533
-67.488402,12,39.951478
-66.270179,12,41.121949
-67.185369,12,42.236003
-65.371899,12,43.339021
-66.370179,12,44.467005
-63.955265,12,45.5651
-63.614203,12,46.693081
-71.026658,12,47.783135
-66.603534,12,48.905141
-69.3121,12,50.036108
-65.753848,12,51.169105
-66.765168,12,52.315258
-68.587529,12,53.580871
